controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw
naive,2026-01-05 00:00:00,0,0,33.4779,3255.844,56.74595,0,55.99831,1,1,2279.091,1779.091,755.1298,392.0924,1147.222,3,0,0,347.2222,800,0,300,924.8426,0.4624213,0.6296853,500,0,249.9603,0.1586165,1023.961,240.3392,48.9294,0,0,0,498.9874,224.1874,274.7999,616.2799,0,1177.514,0,-5.684342e-14,1.669775e-13,7.81597e-14
naive,2026-01-05 00:15:00,1,0.25,32.8874,3301.693,50.47421,0.3148565,38.74887,1,1,2311.185,2310.709,570.294,310.6077,880.9017,2,0,0,80.90174,800,0,56.74595,910.5105,0.4552553,0.5823598,0.4757993,0,250,0.3171828,1740.415,56.38049,49.55045,0,0.3148565,0,498.919,375.7061,123.2129,686.3138,0,1317.427,0,5.684342e-14,8.615331e-14,4.996004e-15
naive,2026-01-05 00:30:00,2,0.5,32.69182,3344.966,51.13726,2.675151,53.10505,1,1,2341.476,2341.159,561.4846,306.7241,868.2087,2,0,0,68.2087,800,0,53.76751,896.9253,0.4484626,0.5733351,0.3172331,0,250,0.3172331,1779.674,47.64142,49.75615,0,2.517722,5.463625,503.1213,382.405,120.7164,690.3031,0,1328.974,0,-5.684342e-14,-2.027267e-13,4.263256e-14
naive,2026-01-05 00:45:00,3,0.75,32.37163,3341.084,62.28492,6.956063,38.38987,1,1,2338.759,2338.441,563.301,307.5249,870.826,2,0,0,70.82595,800,0,53.78248,883.3385,0.4416692,0.5647807,0.3172331,0,250,0.3172331,1775.14,49.65091,50.09291,9.499118,5.959394,0,498.7627,378.5657,120.197,686.0906,0,1342.493,0,5.684342e-14,5.107026e-14,4.263256e-14
naive,2026-01-05 01:00:00,4,1,32.07294,3332.231,66.73355,7.635904,66.87607,1,1,2332.562,2332.245,560.4983,306.2893,866.7877,2,0,0,66.78767,800,0,57.6471,868.7876,0.4343938,0.5562253,0.3172331,0,250,0.3172331,1771.746,46.97955,50.40705,11.57297,5.149387,19.89652,493.9801,375.2129,118.7671,685.7159,0,1343.57,0,-5.684342e-14,5.262457e-14,4.263256e-14
naive,2026-01-05 01:15:00,5,1.25,31.81244,3318.101,58.5654,4.663508,55.69026,1,1,2322.671,2322.353,564.4528,308.0327,872.4854,2,0,0,72.48544,800,0,60.99157,853.403,0.4267015,0.5470628,0.3172331,0,250,0.3172331,1757.901,51.13851,50.68103,1.090216,1.147113,4.551755,488.9183,370.0351,118.8831,679.0259,0,1304.895,0,0,1.261213e-13,4.263256e-14
naive,2026-01-05 01:30:00,6,1.5,31.32527,3292.396,57.43148,8.390797,39.76622,1,1,2304.677,2304.36,565.2054,308.3644,873.5698,2,0,0,73.56984,800,0,61.36446,837.9275,0.4189638,0.5373753,0.3172331,0,250,0.3172331,1739.155,52.19028,51.19341,0,4.683216,0,479.7194,362.0056,117.7137,670.3701,0,1291.226,0,5.684342e-14,-4.363176e-14,4.263256e-14
naive,2026-01-05 01:45:00,7,1.75,31.08296,3334.687,54.24332,0,30.11655,1,1,2334.281,2333.964,563.4481,307.5897,871.0379,2,0,0,71.03787,800,0,62.00129,822.2953,0.4111476,0.5276307,0.3172331,0,250,0.3172331,1770.516,50.53182,51.44826,0,0,0,483.2006,366.5001,116.7005,674.0898,0,1290.3,0,0,1.757483e-13,4.263256e-14
naive,2026-01-05 02:00:00,8,2,30.76814,3280.048,63.36478,4.315067,59.17904,1,1,2296.034,2295.716,560.9262,306.4779,867.4041,2,0,0,67.40411,800,0,61.03155,806.908,0.403454,0.5177873,0.3172331,0,250,0.3172331,1734.79,48.11675,51.77937,6.162765,0.4855318,11.06229,471.9004,356.5489,115.3515,665.3005,0,1283.817,0,5.684342e-14,1.465494e-14,4.263256e-14
naive,2026-01-05 02:15:00,9,2.25,31.00975,3269.956,56.37728,4.919361,60.70335,1,1,2288.969,2288.652,562.1387,307.0125,869.1511,2,0,0,69.15114,800,0,61.77025,791.3384,0.3956692,0.5080981,0.3172331,0,250,0.3172331,1726.513,49.23022,51.52527,0,1.035878,11.47313,473.0323,356.7966,116.2356,666.1801,0,1276.181,0,0,-9.492407e-14,4.263256e-14
