controller,timestamp,step,hour,ambient_c,it_kw,dhw_demand_kw,process_demand_kw,cooling_demand_kw,grid_available,grid_roster_available,site_captured_kw,captured_kw,hp_absorbed_kw,hp_compressor_kw,hp_delivered_kw,hp_units_on,dhw_heat_kw,process_heat_kw,absorption_heat_kw,orc_heat_kw,store_charge_kw,store_discharge_kw,store_energy_kwh,store_soc,store_standing_loss_kw,buffer_charge_kw,buffer_discharge_kw,buffer_energy_kwh,buffer_standing_loss_kw,rejected_kw,absorption_cooling_kw,orc_electric_kw,fallback_dhw_kw,fallback_process_kw,fallback_cooling_kw,baseline_rejection_electric_kw,actual_rejection_electric_kw,cooling_electric_saving_kw,grid_electric_kw,diesel_electric_kw,net_cost_inr,source_balance_residual_kw,hp_balance_residual_kw,store_balance_residual_kw,buffer_balance_residual_kw,dhw_served_kw,process_served_kw,cooling_served_kw,store_discharge_commanded_kw,store_charge_commanded_kw,dumped_heat_kw,surplus_cooling_kw,service_balance_residual_kw
naive,2026-01-05 00:00:00,0,0,26.20632,2691.497,81.81974,0,28.67395,1,1,1884.048,1384.048,755.1298,392.0924,1147.222,3,0,0,347.2222,800,0,81.81974,979.3876,0.4896938,0.6296853,500,0,249.9603,0.1586165,628.9184,260.538,56.57725,0,0,0,351.0231,117.1758,233.8473,509.2683,0,954.8871,0,-5.684342e-14,-1.598721e-13,7.81597e-14,81.81974,0,28.67395,300,0,0,231.8641,0
naive,2026-01-05 00:15:00,1,0.25,26.16786,2672.603,84.51917,4.970466,30.71045,1,1,1870.822,1870.346,540.6673,297.5468,838.2141,2,0,0,38.21412,800,0,81.81974,958.7785,0.4793893,0.616706,0.4757993,0,250,0.3171828,1329.679,28.6857,56.6177,2.69943,4.970466,2.024747,348.2844,247.5417,100.7427,545.4655,0,1040.467,0,0,6.306067e-14,4.996004e-15,81.81974,0,28.6857,81.81974,0,0,0,0
naive,2026-01-05 00:30:00,2,0.5,26.06582,2654.585,84.21514,6.423412,43.96771,1,1,1858.21,1857.892,541.6035,297.9596,839.563,2,0,0,39.56305,800,0,85.65469,937.2139,0.468607,0.6037288,0.3172331,0,250,0.3172331,1316.289,29.73058,56.72501,1.045686,3.938179,14.23713,345.215,244.5379,100.6771,545.1424,0,1035.066,0,0,-7.094325e-14,4.263256e-14,83.16946,2.485233,29.73058,85.65469,0,0,0,8.881784e-16
naive,2026-01-05 00:45:00,3,0.75,25.75329,2672.726,94.76684,2.383526,38.21991,1,1,1870.908,1870.591,545.9902,299.8935,845.8837,2,0,0,45.8837,800,0,85.90155,915.591,0.4577955,0.5901499,0.3172331,0,250,0.3172331,1324.6,34.5951,57.05371,11.24882,0,3.624811,345.3683,244.5203,100.848,545.0829,0,1045.385,0,5.684342e-14,-9.847678e-14,4.263256e-14,83.51802,2.383526,34.5951,87.31598,0,0,0,7.105427e-15
naive,2026-01-05 01:00:00,4,1,25.73354,2710.87,97.45097,0,32.25016,1,1,1897.609,1897.291,546.827,300.2624,847.0894,2,0,0,47.08937,800,0,86.33022,893.8643,0.4469322,0.5765342,0.3172331,0,250,0.3172331,1350.464,35.51159,57.07449,11.12075,0,0,350.1569,249.1949,100.962,549.4572,0,1053.889,0,0,1.153522e-13,4.263256e-14,86.33022,0,32.25016,89.77458,0,0,3.261425,0
naive,2026-01-05 01:15:00,5,1.25,25.65604,2685.528,95.90693,0.7392985,30.53004,1,1,1879.87,1879.552,546.2251,299.997,846.2221,2,0,0,46.22211,800,0,89.29367,871.4002,0.4357001,0.5628533,0.3172331,0,250,0.3172331,1333.327,34.88621,57.156,7.35256,0,0,346.3387,245.6462,100.6925,545.6432,0,1039.669,0,-5.684342e-14,-8.01581e-14,4.263256e-14,88.55437,0.7392985,30.53004,91.30986,0,0,4.356168,4.218847e-15
naive,2026-01-05 01:30:00,6,1.5,25.45412,2697.678,82.74162,0,31.77913,1,1,1888.375,1888.057,545.5555,299.7018,845.2574,2,0,0,45.25736,800,0,82.74162,850.5776,0.4252888,0.5487079,0.3172331,0,250,0.3172331,1342.502,34.23117,57.36837,0,0,0,346.4877,246.3285,100.1593,546.0303,0,1027.521,0,5.684342e-14,1.598721e-13,4.263256e-14,82.74162,0,31.77913,92.19925,0,0,2.452046,0
naive,2026-01-05 01:45:00,7,1.75,25.40344,2630.406,76.74066,0,31.48916,1,1,1841.284,1840.967,545.2327,299.5595,844.7922,2,0,0,44.79222,800,0,76.74066,831.2585,0.4156293,0.5355962,0.3172331,0,250,0.3172331,1295.734,33.89752,57.42167,0,0,0,337.5022,237.5045,99.99777,537.064,0,1009.529,0,-5.684342e-14,-5.639933e-14,4.263256e-14,76.74066,0,31.48916,90.84816,0,0,2.408359,0
naive,2026-01-05 02:00:00,8,2,25.32886,2609.109,86.83776,1.780775,28.99744,1,1,1826.376,1826.059,544.9555,299.4373,844.3927,2,0,0,44.39273,800,0,88.61853,808.973,0.4044865,0.5234313,0.3172331,0,250,0.3172331,1281.103,33.62168,57.50011,0,0,0,334.2669,234.47,99.79687,533.9073,0,1003.127,0,5.684342e-14,-8.382184e-14,4.263256e-14,86.83776,1.780775,28.99744,89.08472,0,0,4.624243,4.662937e-15
naive,2026-01-05 02:15:00,9,2.25,25.2503,2638.725,86.02407,4.483531,23.14726,1,1,1847.107,1846.79,544.4825,299.2288,843.7113,2,0,0,43.71127,800,0,87.83491,786.887,0.3934435,0.5093985,0.3172331,0,250,0.3172331,1302.308,33.13304,57.58273,0,2.672701,0,337.5274,237.9745,99.55286,537.2033,0,1014.236,0,-5.684342e-14,5.462297e-14,4.263256e-14,86.02407,1.810831,23.14726,89.03292,0,0,9.985779,1.554312e-15
