run_id,study_group,scenario,city,controller,seed,days,demand_scale,perfect_forecast,parameter_draw,recovery_fraction_it,recovery_fraction_captured,it_heat_mwh,captured_mwh,absorbed_mwh,compressor_mwh,dhw_delivered_mwh,process_delivered_mwh,dhw_hp_mwh,process_hp_mwh,absorption_heat_mwh,absorption_cooling_mwh,orc_heat_mwh,orc_electric_mwh,store_charge_mwh,store_discharge_mwh,store_discharge_dhw_mwh,store_discharge_process_mwh,dumped_heat_mwh,surplus_cooling_mwh,store_net_change_mwh,store_standing_loss_mwh,buffer_net_change_mwh,buffer_standing_loss_mwh,rejected_mwh,unmet_demand_percent,fallback_demand_percent,cooling_electric_saving_percent,net_cost_inr,max_source_residual_kw,max_hp_residual_kw,max_store_residual_kw,max_buffer_residual_kw,max_service_residual_kw,max_balance_residual_kw,mpc_solves,mpc_time_limited_solves,parameters_json
sweep__A__tuned__seed0__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,tuned,0,30,0.5,False,-1,0.0479877135202568,0.0685538764575097,2488.7906894790817,1742.153482635357,119.43137461860458,45.21700490490709,51.851497105338304,26.242327848222896,32.27337887320822,22.679600787199288,79.47491228209168,50.47177078008964,0.0,0.0,30.22048758101247,29.39503546140405,20.955593811147043,8.439441650257006,6.254190168250358,2.475655078810081,0.1158929436424678,0.7095591759659555,0.125,0.2283681524982908,1622.3687398642544,0.0,21.61232027063805,7.016048227855804,5362198.932226363,0.0,1.1368683772161605e-13,4.757305660518796e-13,7.815970093361102e-14,2.8421709430404014e-14,4.757305660518796e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed0__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,tuned,0,30,3.0,False,-1,0.2359586523846753,0.3370837891209647,2057.4003033027075,1440.180212311895,485.4614029831291,155.41735627092584,468.6756702888586,129.71520690309845,399.19601116829006,148.2899871985754,0.0,0.0,0.0,0.0,93.39276088718948,93.58511395433128,81.95659190684172,11.628522047489536,42.680235129239705,0.0,-0.5500826412446579,0.3577295741028689,0.125,0.2283681524982908,954.3654411762678,0.0,30.662431626063736,33.76344865261479,5522730.504056305,0.0,3.410605131648481e-13,4.831690603168681e-13,7.815970093361102e-14,3.410605131648481e-13,4.831690603168681e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__tuned__seed1__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,tuned,1,30,0.5,False,-1,0.0482371703682679,0.0689102433832399,2485.7953327856485,1740.0567329499538,119.9077329682266,45.46086123564855,51.72582368707501,26.26459149182596,32.15431642809148,22.603679167239587,80.5556357135307,51.55197409424871,0.0,0.0,30.054962895013382,29.22917910040244,20.81770137977721,8.41147772062524,5.996759516832536,1.987911587238516,0.1160039709166956,0.7097798236942472,0.125,0.2283681524982908,1619.795631829229,0.0,21.18119814814777,7.062042112805524,5360418.3258533925,0.0,1.4210854715202006e-13,4.745093207247919e-13,7.815970093361102e-14,2.8421709430404014e-14,4.745093207247919e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed1__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,tuned,1,30,3.0,False,-1,0.2359826750782249,0.3371181072546071,2054.9241417694693,1438.4468992386282,484.9264960575849,155.2026544600041,468.98424639795695,129.26336865343438,398.64541603604346,147.71784647556842,0.0,0.0,0.0,0.0,93.7658880059772,93.95990986156583,82.29005351467649,11.66985634688934,42.07555732178636,0.0,-0.5500826412446579,0.3560607856560304,0.125,0.2283681524982908,953.1670350285452,0.0,30.672608644601365,33.84133029159533,5583518.270791106,0.0,3.979039320256561e-13,4.801714581503802e-13,7.815970093361102e-14,2.273736754432321e-13,4.801714581503802e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__tuned__seed2__days30__scale0.5__perfect0__drawnone,sweep,A,Nagpur,tuned,2,30,0.5,False,-1,0.0474281736616294,0.0677545338023278,2491.379377552548,1743.965564286783,118.1615737755646,44.63798198851437,52.10835310509277,26.25606218578279,32.670986893902146,22.651574890036663,77.49244196715784,49.680283619015,0.0,0.0,29.9845520129823,29.140727722256063,20.746788075551347,8.393939646704712,6.098874215319322,1.94061636321458,0.1341976104354478,0.7096266802907851,0.125,0.2283681524982908,1625.4506223587205,0.0,21.89552936905737,6.933270719290928,5357715.884386338,0.0,1.4210854715202006e-13,4.801714581503802e-13,7.815970093361102e-14,4.263256414560601e-14,4.801714581503802e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__B__tuned__seed2__days30__scale3__perfect0__drawnone,sweep,B,Bhopal,tuned,2,30,3.0,False,-1,0.2363015093236229,0.3375735847480328,2059.540285443439,1441.6781998104077,486.67247796308993,155.70701401098725,470.6841734500949,129.6354701834863,401.5022012630712,147.7375452883506,0.0,0.0,0.0,0.0,93.1397454226554,93.33215329268194,81.5047820472383,11.827371245443642,42.252256210522496,0.0,-0.5500826412446579,0.3576747712181281,0.125,0.2283681524982908,954.6523536948192,0.0,30.47359855133669,33.578579816668515,5510340.257048007,0.0,3.979039320256561e-13,4.813927034774679e-13,7.815970093361102e-14,2.717825964282383e-13,4.813927034774679e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__tuned__seed0__days30__scale5__perfect0__drawnone,sweep,A,Nagpur,tuned,0,30,5.0,False,-1,0.3128134226510765,0.4468763180729664,2488.7906894790817,1742.153482635357,778.5271338380841,275.5650687823936,539.5467004258663,257.53178010391224,533.6461916143867,311.6024039205642,173.82400840433334,114.30257305326896,0.0,0.0,35.01959868119327,35.20878883852813,23.67556835621137,11.533220482316748,83.37890384370057,2.6286464172453585,-0.5500826412446579,0.3608924839098018,0.125,0.2283681524982908,963.2729806447747,0.0,44.43222097482385,45.309345438378585,8979520.645553213,0.0,4.547473508864641e-13,4.721778523730791e-13,7.815970093361102e-14,2.273736754432321e-13,4.721778523730791e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed0__days30__scale2__perfect0__drawnone,sweep,C,Coimbatore,tuned,0,30,2.0,False,-1,0.1945891325636424,0.2779844750909178,2322.8713101804765,1626.0099171263334,452.0055133049905,150.6852418468525,393.1348203779601,151.45588471372264,374.8546126687114,194.3065064594188,0.0,0.0,0.0,0.0,33.529636023712904,33.31538361545725,33.31538361545725,0.0,57.88579765190465,0.0,-0.3002439609445789,0.5144963692002443,0.125,0.2283681524982908,1173.6510356688443,0.0,24.36714685745389,28.89195679551774,3308695.640103895,0.0,3.979039320256561e-13,4.618527782440651e-13,7.815970093361102e-14,2.273736754432321e-13,4.618527782440651e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__A__tuned__seed1__days30__scale5__perfect0__drawnone,sweep,A,Nagpur,tuned,1,30,5.0,False,-1,0.3140311311597288,0.4486159016567556,2485.7953327856485,1740.0567329499538,780.6171201862518,276.6025481847364,539.6194963905685,257.29140356875683,532.8009912232684,311.325038086582,178.204897957293,117.43061012036742,0.0,0.0,34.888741103844616,35.07943773452643,23.58275243812796,11.496685296398468,82.29456708505151,2.2921786418961783,-0.5500826412446579,0.3593860105628355,0.125,0.2283681524982908,959.0862446112038,0.0,44.36778361719466,45.50291372514684,8952661.739535192,0.0,5.115907697472721e-13,4.625189120588402e-13,7.815970093361102e-14,2.273736754432321e-13,5.115907697472721e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
sweep__C__tuned__seed1__days30__scale2__perfect0__drawnone,sweep,C,Coimbatore,tuned,1,30,2.0,False,-1,0.1943199190199569,0.2775998843142242,2320.075643933272,1624.05295075329,450.8369112492879,150.26778817890292,393.3870992189788,150.95496354193887,374.0262711204143,193.54193956860885,0.0,0.0,0.0,0.0,33.5364887391677,33.322166199146146,33.322166199146146,0.0,56.54831412725155,0.0,-0.3002439609445789,0.5145665009661611,0.125,0.2283681524982908,1172.8626713515043,0.0,24.30541655346863,28.81865845581716,3333152.638243636,0.0,3.410605131648481e-13,4.691802502065914e-13,7.815970093361102e-14,1.7053025658242404e-13,4.691802502065914e-13,0,0,"{""absorption_nominal_cop"": 0.72, ""capture_fraction"": 0.7, ""hp_eta2"": 0.45, ""mechanical_chiller_nominal_cop"": 5.5, ""orc_eta2"": 0.55, ""store_loss_per_day"": 0.015}"
